Party,Statistic,Type,Coeff,pval_coeff,r2,Lilliefors,Linearity,Heteroscedasticity,Model_score
CDA,k_10Tot15Jaar_15,votes,0.0484,0.0,0.1192,0.0,0.0,7.987562056156116e-78,2
SP,k_10Tot15Jaar_15,votes_div,5.5009,0.0,0.0718,0.0,0.0,3.123286253442791e-29,2
PvdA,k_10Tot15Jaar_15,votes,-0.0051,0.0,0.0025,0.0,0.0,1.3271238771241854e-23,1
Groenlinks,k_10Tot15Jaar_15,votes_sqrt,-0.0294,0.0,0.1203,0.0,0.5086,1.7754926805217194e-11,3
FvD,k_10Tot15Jaar_15,votes,-0.0095,0.0,0.0149,0.0,0.5066,0.2090315581809784,3
PvdD,k_10Tot15Jaar_15,votes_sqrt,-0.0229,0.0,0.173,0.0006,0.1616,0.0005278394172123849,3
CU,k_10Tot15Jaar_15,votes,0.0248,0.0,0.1415,0.0,0.0,3.979952153123754e-68,2
SGP,k_10Tot15Jaar_15,votes,0.0358,0.0,0.1661,0.0,0.0,2.6977350947861236e-118,2
DENK,k_10Tot15Jaar_15,votes_square,-0.0001,0.0,0.0119,0.0,0.17,0.009269235759698997,2
VijftigPlus,k_10Tot15Jaar_15,votes,-0.0038,0.0,0.0312,0.0,0.0,0.0588560091928882,2
VVD,k_15Tot20Jaar_16,votes,-0.0107,0.0,0.0099,0.0,0.0,0.9277306732660066,2
D66,k_15Tot20Jaar_16,votes_div,14.2192,0.0,0.0535,0.0,0.0,8.41505640199171e-34,2
PVV,k_15Tot20Jaar_16,votes_log,-0.1442,0.0,0.0257,0.0,0.2208,0.088780893452885,3
CDA,k_15Tot20Jaar_16,votes,0.0135,0.0,0.0063,0.0,0.0161,0.7988937065630177,2
SP,k_15Tot20Jaar_16,votes_div,7.245,0.0,0.0808,0.0,0.0,6.611267807220773e-28,2
PvdA,k_15Tot20Jaar_16,votes_div,5.6851,0.0,0.0511,0.0,0.0,1.3729614367882841e-34,2
Groenlinks,k_15Tot20Jaar_16,votes_log,-0.2213,0.0,0.053,0.0,0.0,1.7973042535802253e-72,2
FvD,k_15Tot20Jaar_16,votes,0.0011,0.655,0.0001,0.0,0.5768,0.41580528384950177,2
PvdD,k_15Tot20Jaar_16,votes,-0.0051,0.0,0.0591,0.0,0.2347,5.526486394260908e-30,3
CU,k_15Tot20Jaar_16,votes,0.0388,0.0,0.2297,0.0,0.0,8.425870238827426e-85,2
SGP,k_15Tot20Jaar_16,votes,0.0469,0.0,0.2016,0.0,0.0,3.502950026967835e-105,2
DENK,k_15Tot20Jaar_16,votes,-0.0041,0.0,0.0424,0.0,0.1734,1.8197707954654044e-11,2
VijftigPlus,k_15Tot20Jaar_16,votes,-0.0037,0.0,0.0163,0.0,0.0,0.6377267076357356,2
VVD,k_20Tot25Jaar_17,votes,-0.011,0.0,0.0419,0.0,0.0,6.769714582498049e-21,1
D66,k_20Tot25Jaar_17,votes,0.0044,0.0,0.0161,0.0,0.0,2.3584622567054453e-08,1
PVV,k_20Tot25Jaar_17,votes_log,-0.0177,0.004,0.0019,0.0,0.0,0.16010400670200572,2
CDA,k_20Tot25Jaar_17,votes_div,0.7503,0.0,0.0718,0.0,0.0,3.581862764702782e-31,2
SP,k_20Tot25Jaar_17,votes,-0.0002,0.6231,0.0,0.0,0.0001,0.2140374602653741,1
PvdA,k_20Tot25Jaar_17,votes,-0.0016,0.0175,0.0007,0.0,0.0,0.00010878858389310572,1
Groenlinks,k_20Tot25Jaar_17,votes,0.0057,0.0,0.0503,0.0,0.0,2.6046661852312094e-40,2
FvD,k_20Tot25Jaar_17,votes,-0.0014,0.1998,0.0011,0.0,0.004,0.06870031605071007,1
PvdD,k_20Tot25Jaar_17,votes,0.0008,0.0,0.007,0.0,0.0,9.607850555240983e-13,1
CU,k_20Tot25Jaar_17,votes,0.0064,0.0,0.0262,0.0,0.0,6.73018229959335e-35,1
SGP,k_20Tot25Jaar_17,votes,0.0112,0.0,0.0404,0.0,0.0,2.2639567015643544e-87,1
DENK,k_20Tot25Jaar_17,votes,0.0021,0.0,0.0595,0.0,0.0,9.921652185824953e-15,2
VijftigPlus,k_20Tot25Jaar_17,votes_sqrt,-0.0037,0.0,0.0128,0.0009,0.106,0.8083909212015734,3
VVD,k_25Tot45Jaar_18,votes_div,0.0812,0.0,0.003,0.0,0.0,0.38588373458908876,2
D66,k_25Tot45Jaar_18,votes_square,-0.0006,0.0,0.0635,0.0,0.0,0.9912424855779043,3
PVV,k_25Tot45Jaar_18,votes_log,0.01,0.0002,0.0032,0.0,0.0,0.3717787001524172,2
CDA,k_25Tot45Jaar_18,votes,0.0093,0.0,0.0946,0.0,0.0,1.7787477757157396e-134,2
SP,k_25Tot45Jaar_18,votes_log,-0.0046,0.0183,0.0009,0.0,0.0,0.6078163099631568,2
PvdA,k_25Tot45Jaar_18,votes_div,-0.5783,0.0,0.0172,0.0,0.4855,0.5605835374604811,3
Groenlinks,k_25Tot45Jaar_18,votes_log,0.0063,0.0009,0.0014,0.0,0.0,0.8033568129026458,2
FvD,k_25Tot45Jaar_18,votes_div,-0.0772,0.7197,0.0001,0.0,0.0896,0.2069018646796329,2
PvdD,k_25Tot45Jaar_18,votes,-0.001,0.0,0.0685,0.0,0.0,1.9729051431641545e-44,2
CU,k_25Tot45Jaar_18,votes,-0.0001,0.6024,0.0001,0.0,0.0,0.274676390879783,1
SGP,k_25Tot45Jaar_18,votes,-0.0003,0.2745,0.0003,0.0,0.0,0.30279188424934145,1
DENK,k_25Tot45Jaar_18,votes,0.0026,0.0,0.3626,0.0,0.0,7.577975331808341e-25,2
VijftigPlus,k_25Tot45Jaar_18,votes,-0.0006,0.0,0.0107,0.0,0.0,0.2634609332159632,2
VVD,k_45Tot65Jaar_19,votes_square,0.0021,0.0,0.0354,0.0,0.1189,4.630392181535361e-24,2
D66,k_45Tot65Jaar_19,votes_log,0.0813,0.0,0.0736,0.0,0.9305,2.122982581074268e-43,3
PVV,k_45Tot65Jaar_19,votes_log,0.0537,0.0,0.0526,0.0,0.0033,0.433368492343031,3
CDA,k_45Tot65Jaar_19,votes,-0.0064,0.0,0.0225,0.0,0.0,1.635057954038447e-35,1
SP,k_45Tot65Jaar_19,votes_sqrt,0.0085,0.0,0.0757,0.0,0.0419,0.9081648044435584,3
PvdA,k_45Tot65Jaar_19,votes,-0.0042,0.0,0.0187,0.0,0.0,2.6184672939363504e-09,1
Groenlinks,k_45Tot65Jaar_19,votes,-0.0007,0.0,0.0031,0.0,0.0,2.682684989649644e-48,1
FvD,k_45Tot65Jaar_19,votes_square,0.0002,0.1093,0.0018,0.0,0.0745,0.5672128967129828,2
PvdD,k_45Tot65Jaar_19,votes_sqrt,0.0043,0.0,0.0579,0.0188,0.9984,3.0022369105028337e-68,3
CU,k_45Tot65Jaar_19,votes,-0.0069,0.0,0.1155,0.0,0.1072,1.163732098387747e-63,3
SGP,k_45Tot65Jaar_19,votes_sqrt,-0.0204,0.0,0.1485,0.0,0.4361,1.8768922427223028e-192,3
DENK,k_45Tot65Jaar_19,votes_square,-0.0001,0.0,0.0753,0.0,0.9912,6.519037170135195e-06,3
VijftigPlus,k_45Tot65Jaar_19,votes,0.0019,0.0,0.0587,0.0,0.0076,0.05204203183934786,3
VVD,k_65Tot80Jaar_20,votes,0.0031,0.0,0.0169,0.0,0.181,3.1686709218486954e-20,2
D66,k_65Tot80Jaar_20,votes,0.0057,0.0,0.1287,0.0,0.6825,0.07426550959030619,4
PVV,k_65Tot80Jaar_20,votes,-0.001,0.0013,0.0023,0.0,0.0,0.653254699580206,2
CDA,k_65Tot80Jaar_20,votes,-0.0129,0.0,0.1141,0.0,0.083,6.448846002767633e-87,3
SP,k_65Tot80Jaar_20,votes,0.0005,0.0126,0.001,0.0,0.0,0.003320425169220372,1
PvdA,k_65Tot80Jaar_20,votes_log,-0.0667,0.0,0.1072,0.0,0.0,0.24183175668355214,3
Groenlinks,k_65Tot80Jaar_20,votes,0.0006,0.0,0.003,0.0,0.0,0.0009005739864002072,1
FvD,k_65Tot80Jaar_20,votes,0.0015,0.0149,0.0041,0.0,0.3494,0.1839797398527066,3
PvdD,k_65Tot80Jaar_20,votes_log,0.0987,0.0,0.1797,0.0,0.6372,1.0152022158798995e-161,3
CU,k_65Tot80Jaar_20,votes,-0.0031,0.0,0.0288,0.0,0.5721,3.598645909801573e-24,2
SGP,k_65Tot80Jaar_20,votes,-0.0041,0.0,0.0279,0.0,0.269,3.0528955475086512e-27,2
DENK,k_65Tot80Jaar_20,votes,-0.0021,0.0,0.1593,0.0,0.0,5.659438793976979e-21,2
VijftigPlus,k_65Tot80Jaar_20,votes,0.0012,0.0,0.0307,0.0,0.0,0.055192620679572625,2
VVD,k_80JaarOfOuder_21,votes_div,-0.4639,0.0,0.0114,0.0,0.1935,3.5371250512239347e-09,2
D66,k_80JaarOfOuder_21,votes,0.0138,0.0,0.1409,0.0,0.2601,2.3274957305584513e-17,3
PVV,k_80JaarOfOuder_21,votes_sqrt,-0.01,0.0,0.0199,0.0,0.0,0.2130999819269471,2
CDA,k_80JaarOfOuder_21,votes,-0.0371,0.0,0.1742,0.0,0.0,7.089575800309897e-84,2
SP,k_80JaarOfOuder_21,votes_div,-0.7962,0.0,0.0038,0.0,0.0,3.0453605945810124e-05,1
PvdA,k_80JaarOfOuder_21,votes_log,-0.0921,0.0,0.0379,0.0,0.0002,0.4738552714334584,2
Groenlinks,k_80JaarOfOuder_21,votes_square,0.0006,0.0,0.0146,0.0,0.2911,0.363071545360957,3
FvD,k_80JaarOfOuder_21,votes_div,-1.5745,0.0044,0.0056,0.0,0.3438,0.0010214900472988917,2
PvdD,k_80JaarOfOuder_21,votes,0.0042,0.0,0.1476,0.0,0.3928,0.049554997355591615,3
CU,k_80JaarOfOuder_21,votes_square,-0.0013,0.0,0.0161,0.0,0.3192,3.3010411138830436e-12,2
SGP,k_80JaarOfOuder_21,votes_square,-0.0015,0.0,0.0086,0.0,0.8303,3.546848328966121e-08,2
DENK,k_80JaarOfOuder_21,votes,-0.0031,0.0,0.0721,0.0,0.001,1.442543865908777e-10,2
VijftigPlus,k_80JaarOfOuder_21,votes,0.0004,0.1316,0.0007,0.0,0.0,0.8289162526279638,1
VVD,GeboorteRelatief_59,votes,-0.005,0.0,0.0261,0.0,0.0555,8.562441695434332e-32,2
D66,GeboorteRelatief_59,votes_sqrt,-0.0123,0.0,0.1006,0.0,0.4234,9.559924986195472e-06,3
PVV,GeboorteRelatief_59,votes,-0.0025,0.0,0.007,0.0,0.1399,1.8521525277480053e-11,2
CDA,GeboorteRelatief_59,votes,0.0115,0.0,0.0521,0.0,0.0001,2.480347942647256e-21,2
SP,GeboorteRelatief_59,votes_log,-0.0883,0.0,0.1035,0.0,0.0,0.5758074060305493,3
PvdA,GeboorteRelatief_59,votes_square,0.0014,0.0,0.0097,0.0,0.0,0.054358601913664296,2
Groenlinks,GeboorteRelatief_59,votes,-0.0017,0.0,0.0116,0.0,0.0737,0.7639110360453047,3
FvD,GeboorteRelatief_59,votes,-0.0004,0.7307,0.0001,0.0,0.8749,0.6490116755350421,2
PvdD,GeboorteRelatief_59,votes,-0.002,0.0,0.098,0.0,0.1572,0.5363534422085305,4
CU,GeboorteRelatief_59,votes_sqrt,0.0144,0.0,0.0924,0.0,0.9432,1.352340491318272e-55,3
SGP,GeboorteRelatief_59,votes,0.0125,0.0,0.1638,0.0,0.0,3.8944496619937095e-125,2
DENK,GeboorteRelatief_59,votes_square,0.0001,0.0,0.0553,0.0,0.0918,5.541935786913653e-05,3
VijftigPlus,GeboorteRelatief_59,votes_sqrt,-0.0061,0.0,0.071,0.0,0.0,0.12573743426173808,3
VVD,SterfteRelatief_61,votes_div,-0.0856,0.0037,0.001,0.0,0.0692,2.911096450636704e-09,2
D66,SterfteRelatief_61,votes_square,0.0003,0.0,0.0041,0.0,0.3756,0.22146219967848466,3
PVV,SterfteRelatief_61,votes_div,0.2829,0.0,0.0041,0.0,0.3482,0.00011604998777240265,2
CDA,SterfteRelatief_61,votes,-0.009,0.0,0.0277,0.0,0.0,8.171314998129204e-13,1
SP,SterfteRelatief_61,votes_sqrt,0.0031,0.0,0.0061,0.0,0.0,0.5921028912408617,2
PvdA,SterfteRelatief_61,votes_log,0.0199,0.0,0.0052,0.0,0.0,0.2377989348050399,2
Groenlinks,SterfteRelatief_61,votes,0.0021,0.0,0.0155,0.0,0.0013,0.9174900327843121,2
FvD,SterfteRelatief_61,votes,-0.0011,0.2735,0.0011,0.0,0.9613,0.13750474253718925,2
PvdD,SterfteRelatief_61,votes_square,0.0001,0.0,0.0309,0.0,0.9279,0.012587748180031636,2
CU,SterfteRelatief_61,votes_sqrt,-0.0083,0.0,0.0243,0.0,0.517,8.704259044477383e-39,2
SGP,SterfteRelatief_61,votes_sqrt,-0.0137,0.0,0.0382,0.0,0.1295,2.37133533486416e-34,2
DENK,SterfteRelatief_61,votes,-0.0007,0.0008,0.0101,0.0,0.571,0.14803843948759465,3
VijftigPlus,SterfteRelatief_61,votes,0.001,0.0,0.0124,0.0,0.0,0.6305665079769484,2
VVD,GeboorteoverschotRelatief_63,votes_sqrt,-0.0022,0.0,0.009,0.0,0.534,4.2248186316624895e-11,2
D66,GeboorteoverschotRelatief_63,votes,-0.003,0.0,0.0554,0.0,0.0032,1.9802581997140704e-06,2
PVV,GeboorteoverschotRelatief_63,votes_square,-0.0003,0.0,0.0053,0.0,0.1817,1.0243845517405476e-09,2
CDA,GeboorteoverschotRelatief_63,votes,0.0074,0.0,0.0561,0.0,0.8509,2.2674391621330905e-27,3
SP,GeboorteoverschotRelatief_63,votes_log,-0.0424,0.0,0.0625,0.0,0.0,0.2094103854189241,3
PvdA,GeboorteoverschotRelatief_63,votes_sqrt,0.0006,0.0385,0.0005,0.0,0.0,0.05965647927470079,2
Groenlinks,GeboorteoverschotRelatief_63,votes_square,-0.0001,0.0,0.0071,0.0,0.8794,0.6013572657252618,3
FvD,GeboorteoverschotRelatief_63,votes,0.0003,0.6652,0.0002,0.0,0.6933,0.5125018546053578,2
PvdD,GeboorteoverschotRelatief_63,votes,-0.0012,0.0,0.0927,0.0,0.6141,0.613171882514389,4
CU,GeboorteoverschotRelatief_63,votes,0.0045,0.0,0.0889,0.0,0.0,3.022435325935721e-56,2
SGP,GeboorteoverschotRelatief_63,votes,0.0071,0.0,0.1314,0.0,0.0,7.958486868757477e-94,2
DENK,GeboorteoverschotRelatief_63,votes,0.0009,0.0,0.0482,0.0,0.1986,3.425745264486927e-07,2
VijftigPlus,GeboorteoverschotRelatief_63,votes_sqrt,-0.0031,0.0,0.0572,0.0,0.0,0.6461287323294874,3
VVD,ALandbouwBosbouwEnVisserij_165,votes_sqrt,-0.1028,0.0,0.0071,0.0434,0.0623,0.32576208544198704,3
D66,ALandbouwBosbouwEnVisserij_165,votes_log,-2.7975,0.0,0.0993,0.0,0.0,0.7116524394734514,3
PVV,ALandbouwBosbouwEnVisserij_165,votes_square,-0.018,0.0004,0.0066,0.0,0.1503,0.0074693183066748174,2
CDA,ALandbouwBosbouwEnVisserij_165,votes_log,4.2127,0.0,0.3473,0.0001,0.0,0.30515929677137055,3
SP,ALandbouwBosbouwEnVisserij_165,votes,0.0312,0.0642,0.0016,0.0,0.3168,0.08670398531150107,2
PvdA,ALandbouwBosbouwEnVisserij_165,votes,-0.0562,0.0019,0.0039,0.0,0.8784,0.5115528862460432,3
Groenlinks,ALandbouwBosbouwEnVisserij_165,votes_log,-3.1491,0.0,0.1064,0.0,0.0,0.8761790740000595,3
FvD,ALandbouwBosbouwEnVisserij_165,votes_sqrt,-0.2008,0.0006,0.0107,0.0,0.2235,0.5216852970510234,3
PvdD,ALandbouwBosbouwEnVisserij_165,votes,-0.0816,0.0,0.1721,0.0,0.0,0.38270061065177563,3
CU,ALandbouwBosbouwEnVisserij_165,votes_square,0.0293,0.0,0.0163,0.0,0.0045,0.23642191628826756,2
SGP,ALandbouwBosbouwEnVisserij_165,votes,0.1626,0.0005,0.0141,0.0,0.0,4.782104859832076e-06,1
DENK,ALandbouwBosbouwEnVisserij_165,votes,-0.0844,0.0,0.1666,0.0,0.0,7.385327706666668e-10,2
VijftigPlus,ALandbouwBosbouwEnVisserij_165,votes_div,24.6864,0.0059,0.0041,0.0,0.6222,0.8778648239894944,3
VVD,BFNijverheidEnEnergie_166,votes_sqrt,-0.3916,0.0,0.0497,0.0958,0.0,0.053579502620760326,3
D66,BFNijverheidEnEnergie_166,votes_sqrt,-0.8422,0.0,0.2231,0.0655,0.0,0.5779418796806314,4
PVV,BFNijverheidEnEnergie_166,votes_square,0.0534,0.0,0.0289,0.0,0.3613,2.3536938929247535e-12,2
CDA,BFNijverheidEnEnergie_166,votes,0.3969,0.0,0.0523,0.0,0.0,0.05430580102199335,3
SP,BFNijverheidEnEnergie_166,votes_div,26.3224,0.0028,0.0042,0.0,0.0,0.00033884382939761463,1
PvdA,BFNijverheidEnEnergie_166,votes,-0.1681,0.0,0.0172,0.0,0.0348,0.20549144745177497,2
Groenlinks,BFNijverheidEnEnergie_166,votes,-0.392,0.0,0.18,0.0,0.0,3.0114172537294245e-14,2
FvD,BFNijverheidEnEnergie_166,votes,0.1973,0.0,0.0183,0.0,0.6636,3.909379127726653e-10,2
PvdD,BFNijverheidEnEnergie_166,votes,-0.1157,0.0,0.1723,0.0,0.0,0.5380301409418955,3
CU,BFNijverheidEnEnergie_166,votes,0.4551,0.0,0.1111,0.0,0.0009,2.1510169583616405e-20,2
SGP,BFNijverheidEnEnergie_166,votes_sqrt,1.6144,0.0,0.2053,0.0,0.285,7.846882350207652e-56,3
DENK,BFNijverheidEnEnergie_166,votes,-0.0426,0.0,0.022,0.0,0.4202,0.3027899055748516,3
VijftigPlus,BFNijverheidEnEnergie_166,votes,0.046,0.0,0.0122,0.0,0.0,0.0002770309571479918,1
VVD,GIHandelEnHoreca_167,votes,-0.4514,0.0,0.0913,0.0,0.0,0.31477896878706313,3
D66,GIHandelEnHoreca_167,votes_div,42.8515,0.0002,0.0057,0.0,0.0616,0.3638178456487282,3
PVV,GIHandelEnHoreca_167,votes_log,4.3999,0.0,0.087,0.0,0.0,0.7393864328698048,3
CDA,GIHandelEnHoreca_167,votes,0.1349,0.0002,0.0052,0.0,0.0,0.9372394445132829,2
SP,GIHandelEnHoreca_167,votes,0.3589,0.0,0.0917,0.0,0.0,7.308156449725829e-17,2
PvdA,GIHandelEnHoreca_167,votes_div,8.6523,0.4582,0.0002,0.0,0.1031,0.26408051894551743,2
Groenlinks,GIHandelEnHoreca_167,votes_div,112.8151,0.0071,0.0032,0.0,0.2122,0.33375838531675095,3
FvD,GIHandelEnHoreca_167,votes_div,50.6495,0.0147,0.0054,0.0,0.7332,0.13410652480296287,3
PvdD,GIHandelEnHoreca_167,votes,-0.0311,0.0,0.0106,0.0,0.0,0.08670815104093779,2
CU,GIHandelEnHoreca_167,votes,0.1177,0.0053,0.0065,0.0,0.1152,0.0002530022089574427,2
SGP,GIHandelEnHoreca_167,votes,-0.0613,0.4139,0.0008,0.0,0.0287,0.8139785830018557,1
DENK,GIHandelEnHoreca_167,votes,0.0248,0.011,0.0058,0.0,0.0016,0.6489784649971156,2
VijftigPlus,GIHandelEnHoreca_167,votes,0.0263,0.0106,0.0035,0.0,0.0,0.3701463682556686,2
VVD,HJVervoerInformatieEnCommunicatie_168,votes_div,7.6421,0.1723,0.0007,0.0,0.9363,0.025180716122858736,1
D66,HJVervoerInformatieEnCommunicatie_168,votes,0.481,0.0,0.0528,0.0,0.0,2.8185001491341304e-15,2
PVV,HJVervoerInformatieEnCommunicatie_168,votes,0.0139,0.7965,0.0,0.0,0.8511,0.9720652156911301,2
CDA,HJVervoerInformatieEnCommunicatie_168,votes_log,-10.7889,0.0,0.2967,0.0749,0.0,1.8818153252536568e-22,3
SP,HJVervoerInformatieEnCommunicatie_168,votes,-0.137,0.0031,0.0041,0.0,0.9163,0.00013978118085702975,2
PvdA,HJVervoerInformatieEnCommunicatie_168,votes,0.1994,0.0001,0.0065,0.0,0.0863,0.04686339589514513,2
Groenlinks,HJVervoerInformatieEnCommunicatie_168,votes,0.5425,0.0,0.0958,0.0,0.0,1.4252400896289146e-42,2
FvD,HJVervoerInformatieEnCommunicatie_168,votes,0.1133,0.1795,0.0016,0.0,0.7558,0.43144397212471874,2
PvdD,HJVervoerInformatieEnCommunicatie_168,votes_log,5.7029,0.0,0.1015,0.0,0.0,0.1311207045134656,3
CU,HJVervoerInformatieEnCommunicatie_168,votes,-0.1769,0.0161,0.0048,0.0,0.4783,4.803464681881257e-08,2
SGP,HJVervoerInformatieEnCommunicatie_168,votes,-0.0324,0.8008,0.0001,0.0,0.2656,0.31160746946189655,2
DENK,HJVervoerInformatieEnCommunicatie_168,votes,0.2262,0.0,0.1691,0.0,0.0,2.4318659518331323e-12,2
VijftigPlus,HJVervoerInformatieEnCommunicatie_168,votes_log,0.0077,0.9852,0.0,0.0,0.3232,0.2961473020487855,2
VVD,KLFinancieleDienstenOnroerendGoed_169,votes_log,5.2471,0.0,0.1195,0.0,0.7748,0.8568715494673463,4
D66,KLFinancieleDienstenOnroerendGoed_169,votes_sqrt,0.629,0.0,0.0514,0.1902,0.7578,0.07587712553877614,5
PVV,KLFinancieleDienstenOnroerendGoed_169,votes,-0.2472,0.0,0.0161,0.0,0.1481,4.608297485264234e-07,2
CDA,KLFinancieleDienstenOnroerendGoed_169,votes_log,-0.7379,0.0213,0.002,0.0731,0.0007,6.282249876414582e-15,2
SP,KLFinancieleDienstenOnroerendGoed_169,votes,-0.4612,0.0,0.0669,0.0,0.5848,8.697535906582025e-06,3
PvdA,KLFinancieleDienstenOnroerendGoed_169,votes_div,69.7925,0.0,0.0068,0.0,0.0187,0.11975047675453152,2
Groenlinks,KLFinancieleDienstenOnroerendGoed_169,votes_log,-0.987,0.0311,0.0021,0.0,0.1397,0.24600887176875727,3
FvD,KLFinancieleDienstenOnroerendGoed_169,votes_log,0.921,0.4185,0.0006,0.0,0.059,0.1051371316438011,2
PvdD,KLFinancieleDienstenOnroerendGoed_169,votes_sqrt,-0.0768,0.0061,0.004,0.3216,0.0,0.9470494905946979,3
CU,KLFinancieleDienstenOnroerendGoed_169,votes,-0.019,0.7604,0.0001,0.0,0.7494,0.17569845311283394,2
SGP,KLFinancieleDienstenOnroerendGoed_169,votes_square,0.129,0.0001,0.0173,0.0,0.0249,0.18128105573996967,2
DENK,KLFinancieleDienstenOnroerendGoed_169,votes_square,-0.0037,0.0,0.0164,0.0,0.7022,0.014024253723974426,2
VijftigPlus,KLFinancieleDienstenOnroerendGoed_169,votes,-0.0036,0.8129,0.0,0.0,0.0,0.21267065733429427,1
VVD,MNZakelijkeDienstverlening_170,votes,0.3368,0.0,0.112,0.0,0.002,0.08896924948617838,3
D66,MNZakelijkeDienstverlening_170,votes_sqrt,0.7239,0.0,0.3274,0.0,0.7944,0.8226210900853473,4
PVV,MNZakelijkeDienstverlening_170,votes,-0.2094,0.0,0.0551,0.0,0.0,5.027185110148147e-09,2
CDA,MNZakelijkeDienstverlening_170,votes,-0.6128,0.0,0.2378,0.0,0.0,1.503835119604181e-30,2
SP,MNZakelijkeDienstverlening_170,votes_square,-0.0366,0.0,0.0408,0.0,0.293,1.8897872886385122e-08,2
PvdA,MNZakelijkeDienstverlening_170,votes,0.0616,0.001,0.0044,0.0,0.0045,0.15128149105654995,2
Groenlinks,MNZakelijkeDienstverlening_170,votes,0.3678,0.0,0.3105,0.0,0.4674,1.2613833804462932e-24,3
FvD,MNZakelijkeDienstverlening_170,votes_div,-37.5006,0.0052,0.0071,0.0,0.0018,1.827170061668409e-05,1
PvdD,MNZakelijkeDienstverlening_170,votes,0.1006,0.0,0.2458,0.0,0.0222,0.20190472334187395,3
CU,MNZakelijkeDienstverlening_170,votes,-0.262,0.0,0.0737,0.0,0.0002,8.736644114082439e-18,2
SGP,MNZakelijkeDienstverlening_170,votes,-0.4371,0.0,0.0987,0.0,0.0002,7.49583888187432e-23,2
DENK,MNZakelijkeDienstverlening_170,votes,0.0557,0.0,0.0703,0.0,0.0,4.409109166143312e-06,2
VijftigPlus,MNZakelijkeDienstverlening_170,votes_square,-0.0046,0.0003,0.0072,0.0,0.1792,0.021875093426240135,2
